"index","Source","Values","MitVwind","MaxVwind","MinVwind","MitNRotor","MaxNRotor","MinNRotor","MitP","MaxP","MinP","GoPos","Hour","Wexp","Minutes","MitQ","MaxQ","MinQ","PavaVwind","PavaTech","PavaForceM","PavaExtern","Pitch","?1","?2","?3","?4","?5","?6","?7","?8"
"2016-02-12 00:40:00.000000","Rep","10.0","6.3","8.8","4.3","9.4","10.59","7.74","598.0","917.0","294.0","589.0","2050.0","2590002.0","20.0","2.0","11.0","-14.0","609.0","609.0","609.0","609.0","1.0","65.535","65.535","65.535","6553.5","6553.5","6553.5","0.0","65535.0"
"2016-02-12 00:50:00.000000","Rep","10.0","6.4","8.8","4.3","9.53","10.84","8.37","673.0","1004.0","420.0","590.0","2050.0","2590115.0","30.0","-3.0","4.0","-13.0","691.0","691.0","691.0","691.0","1.0","65.535","65.535","65.535","6553.5","6553.5","6553.5","0.0","65535.0"
"2016-02-12 01:00:00.000000","Rep","10.0","5.9","8.2","3.9","9.1","10.7","7.48","498.0","972.0","192.0","590.0","2050.0","2590198.0","40.0","-1.0","9.0","-10.0","520.0","520.0","520.0","520.0","1.0","65.535","65.535","65.535","6553.5","6553.5","6553.5","0.0","65535.0"
"2016-02-12 01:10:00.000000","Rep","10.0","5.8","7.7","3.9","8.94","10.07","7.93","386.0","583.0","226.0","572.0","2050.0","2590262.0","50.0","-15.0","1.0","-36.0","396.0","396.0","396.0","396.0","1.0","65.535","65.535","65.535","6553.5","6553.5","6553.5","0.0","65535.0"
"2016-02-12 01:20:00.000000","Rep","10.0","5.8","8.7","3.5","8.87","10.35","8.0","488.0","819.0","348.0","574.0","2051.0","2590344.0","0.0","-11.0","0.0","-23.0","505.0","505.0","505.0","505.0","1.0","65.535","65.535","65.535","6553.5","6553.5","6553.5","0.0","65535.0"
"2016-02-12 01:30:00.000000","Rep","10.0","6.2","9.1","3.8","8.84","9.97","7.9","506.0","694.0","327.0","577.0","2051.0","2590429.0","10.0","-14.0","-7.0","-26.0","517.0","517.0","517.0","517.0","1.0","65.535","65.535","65.535","6553.5","6553.5","6553.5","0.0","65535.0"
"2016-02-12 01:40:00.000000","Rep","10.0","6.0","9.0","4.2","9.37","10.42","8.12","505.0","856.0","323.0","583.0","2051.0","2590513.0","20.0","-8.0","0.0","-22.0","522.0","522.0","522.0","522.0","1.0","65.535","65.535","65.535","6553.5","6553.5","6553.5","0.0","65535.0"
"2016-02-12 01:50:00.000000","Rep","10.0","6.1","8.7","3.8","9.21","11.38","7.78","595.0","1172.0","306.0","585.0","2051.0","2590612.0","30.0","-5.0","5.0","-24.0","597.0","597.0","597.0","597.0","1.0","65.535","65.535","65.535","6553.5","6553.5","6553.5","0.0","65535.0"
"2016-02-12 02:00:00.000000","Rep","10.0","6.7","9.0","3.5","10.06","11.72","8.42","807.0","1301.0","434.0","589.0","2051.0","2590747.0","40.0","0.0","14.0","-15.0","817.0","817.0","817.0","817.0","1.0","65.535","65.535","65.535","6553.5","6553.5","6553.5","0.0","65535.0"
"2016-02-12 02:10:00.000000","Rep","10.0","6.6","9.6","4.2","9.96","12.34","8.52","772.0","1518.0","268.0","589.0","2051.0","2590876.0","50.0","-2.0","15.0","-82.0","778.0","778.0","778.0","778.0","1.0","65.535","65.535","65.535","6553.5","6553.5","6553.5","0.0","65535.0"
"2016-02-12 02:20:00.000000","Rep","10.0","6.6","8.5","4.9","9.78","11.09","8.4","732.0","1077.0","431.0","589.0","2052.0","2590998.0","0.0","1.0","10.0","-8.0","742.0","742.0","742.0","742.0","1.0","65.535","65.535","65.535","6553.5","6553.5","6553.5","0.0","65535.0"
"2016-02-12 02:30:00.000000","Rep","10.0","6.6","9.3","4.6","9.9","11.44","8.28","765.0","1193.0","400.0","589.0","2052.0","2591126.0","10.0","2.0","15.0","-4.0","777.0","777.0","777.0","777.0","1.0","65.535","65.535","65.535","6553.5","6553.5","6553.5","0.0","65535.0"
"2016-02-12 02:40:00.000000","Rep","10.0","6.5","8.5","4.1","9.93","11.42","8.72","762.0","1185.0","368.0","589.0","2052.0","2591253.0","20.0","2.0","10.0","-5.0","772.0","772.0","772.0","772.0","1.0","65.535","65.535","65.535","6553.5","6553.5","6553.5","0.0","65535.0"
"2016-02-12 02:50:00.000000","Rep","10.0","6.2","8.6","4.2","9.33","10.32","8.4","630.0","858.0","426.0","589.0","2052.0","2591359.0","30.0","1.0","10.0","-5.0","644.0","644.0","644.0","644.0","1.0","65.535","65.535","65.535","6553.5","6553.5","6553.5","0.0","65535.0"
"2016-02-12 03:00:00.000000","Rep","10.0","6.2","9.2","3.9","9.52","10.71","8.39","671.0","970.0","428.0","589.0","2052.0","2591471.0","40.0","2.0","12.0","-4.0","684.0","684.0","684.0","684.0","1.0","65.535","65.535","65.535","6553.5","6553.5","6553.5","0.0","65535.0"
